retweetcount,text,sentiment,selected_text
13,"Grademic Not as you think

SF India organises a webinar on Exams in the time of pandemic

NoExamsMHRD SayNoToUGCGuidelines SpeakUpForStudents COVID19India LINK",neutral, grademic not as you think sf india organises a webinar on exams in the time of pandemic noexamsmhrd saynotougcguidelines speakupforstudents covid19india link
1,LINK  Just watch 🙄 absolutely true  we all know pbajpai salute 🙏🙏 what a fact COVID19India Sachinpilot lockdown isupportsunitayadav ItsOkayToNotBeOkay level5,positive, absolutely true we all know pbajpai salute
0,"publichealth 
No wordsjust a simple visual to show effectively why PhysicalDistancing  works

Watch the Whole videoits just 30secs

Some of these kind of effective messaging for 🇮🇳  🙏🏻
COVID19India LINK",positive, effectively
0,"Bollywood stars fqmily hospitalized for COVID19 positive tests
amitabhbachchan bollywood india
Read More LINK",positive, positive
30,Important advisory from SatchitBalsari amp Dr Zarir F Udwadia All managing COVID19India especially IAS officers pol leaders Medical professionals Note amp Act MoHFWINDIA amp ICMRDELHI guidelines encouraging ArogyaAndhra Act Steroid O2 blood thinners seem 2 work LINK,positive, important
0,Actor Anupam Khers mother 3 family members test positive for coronavirus AnupamKher Mumbai Maharashtra Bollywood COVID19India Coronavirus COVID COVID19 Pandemic LINK,positive, positive
2,"LINK
Am I the only one who hates working from home

WorkFromHome COVID19India pandemic jammu india ThursdayThoughts CreepyTrump LINK",negative, hates
0,Bollywoods Bachchan family hit by coronavirus  CBC News LINK COVID19 COVID19 India,neutral, bollywoods bachchan family hit by coronavirus cbc news link covid19 covid19 india
17,"India accounting for 12 percent of global cases daily
COVID19India",negative, india accounting for 12 percent of global cases daily covid19india
0,MoHFWINDIA I couldnt find SOP relating to mask reuse in the Indian context issued by MoHFW The only reference I can find is from CDC here LINK  COVID19India CoronaUpdatesInIndia,neutral, mohfwindia i couldnt find sop relating to mask reuse in the indian context issued by mohfw the only reference i can find is from cdc here link covid19india coronaupdatesinindia
1,Good work  Nice creativity  technology techno Covid19 Covid19 india NarendraModi LINK,positive, good work
3,"The entire world is praying for the speedy recovery of BachchanFamily AmitabhBachchan  AbhishekBachchan AishwaryaRaiBachchan  AaradhyaBachchan  Our prayers for them to get well soon 
 LINK via YouTube COVID19 in India  CoronavirusIndia  COVID19India LINK",positive, prayers
13,"As per various news articles if found true and authentic then Sechenov Medical University claims to prepare and successfully completed trials of world first covid 19 vaccine
COVID19India coronavaccine COVID19 LINK",positive, successfully
51,"Wearing a mask can reduce the spread of the Corona virus Save yourself and others by wearing a mask  

COVID19 COVID19India Gurugram LINK",neutral, wearing a mask can reduce the spread of the corona virus save yourself and others by wearing a mask covid19 covid19india gurugram link
2,"Katyayan India IndiaFightsCorona IndiaFightsCOVID19
WestBengal shameful CluelessModiSarkar HumanRights
BananaRepublic
News18 Threatened Suicide for Bed Parents Say Diabetic Son Died of Covid19 After 3 Hospitals Turned Him Away
LINK",neutral, katyayan india indiafightscorona indiafightscovid19 westbengal shameful cluelessmodisarkar humanrights bananarepublic news18 threatened suicide for bed parents say diabetic son died of covid19 after 3 hospitals turned him away link
0,"Bravo Thanks Russia 😇

Covid19 COVID19India globaltimesnews USA realDonaldTrump PypAyurved RajatSharmaLive LINK",positive, bravo
